PC,RES_CNT_High,NRP_CNT_High,UNC_CNT_High,TOT_CNT_High,RES_CNT_Medium,NRP_CNT_Medium,UNC_CNT_Medium,TOT_CNT_Medium,RES_CNT_Low,NRP_CNT_Low,UNC_CNT_Low,TOT_CNT_Low,RES_CNT_VeryLow,NRP_CNT_VeryLow,UNC_CNT_VeryLow,TOT_CNT_VeryLow,SORTOFF,DISTRICT,SECTOR,UNIT
SK8 2EW,3,0,0,3,2,0,0,2,16,0,0,16,0,0,0,0,SK,8,2,EW
S41 7WF,7,0,0,7,0,0,0,0,47,0,0,47,0,0,0,0,S,41,7,WF
SW11 7BQ,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,29,SW,11,7,BQ
CB23 3TH,3,0,0,3,2,0,0,2,5,0,0,5,0,0,0,0,CB,23,3,TH
GL11 5DT,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,GL,11,5,DT
BB8 9AF,1,0,0,1,1,0,0,1,3,0,0,3,0,0,0,0,BB,8,9,AF
TR21 0JN,0,0,0,0,0,1,0,1,0,0,0,0,8,0,0,8,TR,21,0,JN
TA4 4RX,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,TA,4,4,RX
LA22 0AP,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,LA,22,0,AP
BN24 6AJ,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,BN,24,6,AJ
W6 9LF,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0,61,W,6,9,LF
HU5 1NJ,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,28,HU,5,1,NJ
NG23 6FD,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,NG,23,6,FD
HR6 0QJ,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,3,HR,6,0,QJ
EX6 8JY,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,EX,6,8,JY
TN26 3AJ,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,TN,26,3,AJ
BN11 5EX,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BN,11,5,EX
BS35 1PR,1,0,0,1,0,0,0,0,1,0,0,1,9,1,0,10,BS,35,1,PR
CT5 1HD,0,0,0,0,0,0,0,0,7,0,0,7,14,2,0,16,CT,5,1,HD
N18 3HE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,N,18,3,HE
SW6 1EZ,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,33,SW,6,1,EZ
MK5 8AX,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,MK,5,8,AX
NG2 2NS,0,0,0,0,0,1,0,1,3,1,0,4,0,0,0,0,NG,2,2,NS
TA6 5BX,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,TA,6,5,BX
WN8 7HA,1,2,0,3,0,0,0,0,0,1,0,1,0,0,0,0,WN,8,7,HA
PO18 8TF,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,PO,18,8,TF
S60 1TZ,0,0,0,0,0,3,8,11,0,0,1,1,0,0,0,0,S,60,1,TZ
M3 5GH,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,M,3,5,GH
LA18 5HX,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,LA,18,5,HX
BN22 8EP,0,0,0,0,0,0,0,0,3,0,1,4,23,0,0,23,BN,22,8,EP
TN29 9QR,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,7,TN,29,9,QR
BB11 1DF,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,BB,11,1,DF
WA2 9BH,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,WA,2,9,BH
TN29 9RZ,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,7,TN,29,9,RZ
DN8 4QZ,0,0,0,0,0,0,0,0,15,0,0,15,4,0,4,8,DN,8,4,QZ
HR2 6HS,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,HR,2,6,HS
BS1 5SW,0,0,0,0,62,0,0,62,0,0,0,0,0,0,0,0,BS,1,5,SW
E16 1PU,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,E,16,1,PU
HP18 1AJ,0,0,0,0,4,0,0,4,6,0,0,6,0,0,0,0,HP,18,1,AJ
BN15 8LN,0,0,0,0,0,0,0,0,11,0,0,11,24,0,0,24,BN,15,8,LN
CA7 9BD,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,CA,7,9,BD
CM4 9AR,6,0,0,6,4,0,0,4,12,0,0,12,0,0,0,0,CM,4,9,AR
S41 9FE,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,S,41,9,FE
OX18 4EE,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,OX,18,4,EE
DE1 2EU,0,0,0,0,1,3,1,5,0,0,1,1,0,0,0,0,DE,1,2,EU
WA2 8AL,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,WA,2,8,AL
CA2 6AB,0,0,0,0,0,0,0,0,11,5,0,16,4,0,0,4,CA,2,6,AB
LA18 5JA,5,1,0,6,1,0,0,1,0,1,0,1,3,0,0,3,LA,18,5,JA
BS22 6RX,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,23,BS,22,6,RX
PE12 6DJ,0,0,0,0,2,1,4,7,0,0,0,0,0,0,0,0,PE,12,6,DJ
DN35 7TX,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,DN,35,7,TX
SL6 8LH,6,0,0,6,18,0,0,18,0,0,0,0,0,0,0,0,SL,6,8,LH
TS23 1PX,0,2,4,6,0,11,9,20,0,11,2,13,0,0,2,2,TS,23,1,PX
BA2 0QB,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,BA,2,0,QB
CW10 0JH,0,0,0,0,0,0,0,0,1,9,4,14,0,0,0,0,CW,10,0,JH
M50 2HQ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,M,50,2,HQ
RM1 1AP,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,30,RM,1,1,AP
TS26 0UH,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,TS,26,0,UH
PR2 3ST,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,6,PR,2,3,ST
SK10 7HS,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,SK,10,7,HS
